year,company,car_name,km_driven,fuel_type,transmission,price,location
2022,Tata,NEXON XZA PLUS KAZIRANGA PETROL,33058,Petrol,Automatic,₹9.99 Lakh,Ahmedabad
2017,Maruti,IGNIS ZETA 1.2 AMT,30087,Petrol,Automatic,₹4.61 Lakh,Ahmedabad
2012,Hyundai,i20 MAGNA 1.2,51560,Petrol,Manual,₹3.18 Lakh,Ahmedabad
2016,Honda,Jazz 1.2L I-VTEC E,109934,Petrol,Manual,₹3.45 Lakh,Ahmedabad
2018,Volkswagen,Ameo HIGHLINE1.5L,64394,Diesel,Manual,₹5.62 Lakh,Ahmedabad
2015,Hyundai,i10 MAGNA 1.1,115024,CNG,Manual,₹3.03 Lakh,Ahmedabad
2015,Honda,Brio S MT,99660,Petrol,Manual,₹2.99 Lakh,Ahmedabad
2023,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,8899,Petrol,Manual,₹9.45 Lakh,Ahmedabad
2013,Hyundai,i10 MAGNA 1.1,32569,Petrol,Manual,₹2.92 Lakh,Ahmedabad
2022,KIA,SONET HTK PLUS 1.0 IMT,8535,Petrol,Manual,₹9.56 Lakh,Ahmedabad
2019,Hyundai,VENUE SX 1.0 TURBO,23373,Petrol,Manual,₹8.25 Lakh,Ahmedabad
2019,Hyundai,Creta SX (O) EXECUTIVE 1.6 PETROL,63467,Petrol,Manual,₹10.30 Lakh,Ahmedabad
2019,Renault,Kwid RXT 1.0 (O),53607,Petrol,Manual,₹3.12 Lakh,Ahmedabad
2021,Tata,Tiago XTA PETROL,16936,Petrol,Automatic,₹5.59 Lakh,Ahmedabad
2021,Tata,Tiago XZA PLUS DUAL TONE PETROL,23447,Petrol,Automatic,₹6.33 Lakh,Ahmedabad
2012,Hyundai,i10 MAGNA 1.1,71100,Petrol,Manual,₹2.56 Lakh,Ahmedabad
2020,Tata,TIGOR XZ PLUS PETROL,55845,Petrol,Manual,₹5.59 Lakh,Ahmedabad
2019,Renault,TRIBER RXZ,43496,Petrol,Manual,₹4.90 Lakh,Ahmedabad
2014,Hyundai,i10 MAGNA 1.1,77170,CNG,Manual,₹3.13 Lakh,Ahmedabad
2021,Hyundai,Creta S 1.5 PETROL,23186,Petrol,Manual,₹11.97 Lakh,Ahmedabad
2022,Tata,TIGOR XZA PLUS PETROL,12248,Petrol,Automatic,₹7.33 Lakh,Ahmedabad
2016,Hyundai,Elite i20 SPORTZ 1.2,41771,Petrol,Manual,₹5.29 Lakh,Ahmedabad
2022,Mahindra,XUV300 W8 (O) 1.2 PETROL AMT,12801,Petrol,Automatic,₹11.54 Lakh,Ahmedabad
2018,Datsun,Redi Go S 1.0,68162,Petrol,Manual,₹2.59 Lakh,Ahmedabad
2017,Honda,WR-V 1.2L I-VTEC VX MT,104509,Petrol,Manual,₹5.78 Lakh,Ahmedabad
2021,Tata,TIGOR XZA PLUS PETROL,37428,Petrol,Automatic,₹6.73 Lakh,Ahmedabad
2016,Maruti,Celerio VXI AMT,73539,Petrol,Automatic,₹3.45 Lakh,Ahmedabad
2017,Maruti,Ciaz S 1.4 MT PETROL,73948,Petrol,Manual,₹6.00 Lakh,Ahmedabad
2015,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,81725,Petrol,Manual,₹3.98 Lakh,Ahmedabad
2022,Renault,Kwid RXL 0.8 (O),29056,Petrol,Manual,₹4.30 Lakh,Ahmedabad
2015,Honda,Jazz 1.2L I-VTEC VX,80191,Petrol,Manual,₹4.03 Lakh,Ahmedabad
2012,Hyundai,i10 MAGNA 1.2,60407,Petrol,Manual,₹2.66 Lakh,Ahmedabad
2022,Tata,NEXON XZ PLUS (HS) DIESEL DARK EDITION,35285,Diesel,Manual,₹10.64 Lakh,Ahmedabad
